Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,7;28,5;31,5;24,0;22,4;70,0;995,0;1,8;4,0;49,0
0,0;29,9;34,2;24,7;22,5;66,0;993,0;10,5;7,6;49,0
0,0;29,9;35,2;23,2;17,9;49,0;994,0;11,3;8,0;49,0
0,0;29,2;34,0;21,5;19,6;58,0;994,0;5,0;6,2;49,0
0,0;31,0;35,5;21,4;19,3;52,0;994,0;11,7;7,0;50,0
0,0;30,1;34,3;22,0;16,0;44,0;995,0;11,7;8,9;50,0
0,0;29,3;34,0;20,0;15,3;44,0;996,0;11,7;7,0;50,0
0,0;31,9;36,5;21,6;21,0;54,0;996,0;11,8;8,0;50,0
0,0;32,7;38,0;25,5;21,6;53,0;998,0;8,8;7,6;50,0
0,0;30,2;37,3;25,4;23,9;69,0;996,0;7,0;6,4;50,0
0,0;s/d;38,5;25,6;sd;s/d;s/d;11,7;6,7;50,0
3,7;29,5;37,0;26,8;22,5;66,0;997,0;4,5;6,1;51,0
0,0;28,1;31,3;22,0;22,2;71,0;1001,0;9,5;5,6;51,0
26,2;31,4;35,8;24,0;23,6;64,0;998,0;8,3;s/d;51,0
0,1;24,0;33,0;22,6;22,1;90,0;996,0;s/d;s/d;51,0
15,1;28,4;34,0;22,8;23,5;77,0;993,0;7,5;6,1;51,0
29,2;25,4;28,3;23,9;23,2;88,0;994,0;0,3;s/d;51,0
7,5;25,7;28,0;24,2;23,7;89,0;992,0;0,5;s/d;51,0
0,0;24,9;29,0;21,4;20,6;77,0;996,0;3,2;3,5;52,0
0,0;27,6;31,0;19,6;18,3;58,0;996,0;11,6;3,4;52,0
9,7;27,0;30,0;22,7;23,7;82,0;995,0;7,2;3,4;52,0
1,6;26,5;32,0;24,4;23,3;83,0;997,0;4,3;3,0;52,0
0,0;28,1;33,0;23,0;23,1;75,0;995,0;7,8;5,5;52,0
0,0;28,4;31,0;24,0;23,1;74,0;995,0;11,0;6,1;52,0
0,0;29,7;34,1;23,4;23,3;69,0;993,0;9,3;5,5;52,0
2,5;29,1;34,4;23,8;sd;s/d;s/d;9,7;6,5;52,0
